"date","hour","height"
"20/01/06","14:41",2.9
"20/01/06","21:38",0.8
"21/01/06","02:58",2.8
"21/01/06","09:47",0.8
"21/01/06","15:17",2.8
"21/01/06","22:24",0.9
"22/01/06","03:49",2.6
"22/01/06","10:32",0.9
"22/01/06","16:06",2.7
"22/01/06","23:17",1
"23/01/06","04:56",2.5
"23/01/06","11:23",1
"23/01/06","17:08",2.7
"24/01/06","00:23",1
"24/01/06","06:11",2.4
"24/01/06","12:17",1
"24/01/06","18:15",2.7
"25/01/06","01:49",1
"25/01/06","07:28",2.5
"25/01/06","13:17",1
"25/01/06","19:21",2.9
"26/01/06","03:32",0.9
"26/01/06","08:36",2.7
"26/01/06","14:30",1
"26/01/06","20:23",3
"27/01/06","04:38",0.7
"27/01/06","09:39",2.9
"27/01/06","16:30",0.9
"27/01/06","21:23",3.2
"28/01/06","05:30",0.5
"28/01/06","10:36",3.1
"28/01/06","17:34",0.7
"28/01/06","22:21",3.4
"29/01/06","06:15",0.4
"29/01/06","11:30",3.2
"29/01/06","18:24",0.6
"29/01/06","23:19",3.5
"30/01/06","07:02",0.2
"30/01/06","12:17",3.4
"30/01/06","19:11",0.4
"31/01/06","00:11",3.6
"31/01/06","07:51",0.2
"31/01/06","12:54",3.5
"31/01/06","19:58",0.3
"01/02/06","00:53",3.6
"01/02/06","08:32",0.2
"01/02/06","13:36",3.5
"01/02/06","20:47",0.3
"02/02/06","01:39",3.6
"02/02/06","09:06",0.3
"02/02/06","14:17",3.5
"02/02/06","21:26",0.4
"03/02/06","02:28",3.4
"03/02/06","09:49",0.4
"03/02/06","14:53",3.3
"03/02/06","22:08",0.5
"04/02/06","03:19",3.2
"04/02/06","10:23",0.6
"04/02/06","15:38",3.2
"04/02/06","22:54",0.7
"05/02/06","04:15",2.9
"05/02/06","10:54",0.8
"05/02/06","16:30",2.9
"05/02/06","23:51",0.9
"06/02/06","05:23",2.7
"06/02/06","11:36",1
"06/02/06","17:36",2.7
"07/02/06","01:11",1
"07/02/06","06:41",2.5
"07/02/06","12:26",1.1
"07/02/06","18:49",2.7
"08/02/06","02:53",0.9
"08/02/06","08:02",2.6
"08/02/06","14:23",1.2
"08/02/06","20:09",2.7
"09/02/06","04:00",0.7
"09/02/06","09:09",2.7
"09/02/06","15:53",1.1
"09/02/06","21:15",2.8
"10/02/06","04:53",0.6
"10/02/06","10:00",2.8
"10/02/06","16:47",1
"10/02/06","22:02",3
"11/02/06","05:34",0.5
"11/02/06","10:43",3
"11/02/06","17:26",0.9
"11/02/06","22:41",3.1
"12/02/06","06:06",0.5
"12/02/06","11:21",3.1
"12/02/06","18:00",0.8
"12/02/06","23:19",3.2
"13/02/06","06:43",0.5
"13/02/06","11:54",3.1
"13/02/06","18:38",0.7
"13/02/06","23:53",3.3
"14/02/06","07:08",0.5
"14/02/06","12:26",3.2
"14/02/06","19:06",0.7
"15/02/06","00:26",3.3
"15/02/06","07:38",0.6
"15/02/06","12:53",3.2
"15/02/06","19:43",0.6
"16/02/06","00:56",3.3
"16/02/06","08:00",0.6
"16/02/06","13:15",3.2
"16/02/06","20:13",0.7
"17/02/06","01:24",3.2
"17/02/06","08:28",0.7
"17/02/06","13:34",3.2
"17/02/06","20:49",0.7
"18/02/06","01:51",3.1
"18/02/06","08:47",0.8
"18/02/06","13:58",3.2
"18/02/06","21:23",0.8
"19/02/06","02:23",2.9
"19/02/06","09:15",0.9
"19/02/06","14:28",3.1
"19/02/06","21:49",0.9
"20/02/06","03:06",2.7
"20/02/06","09:34",0.9
"20/02/06","15:11",3
"20/02/06","22:38",1
"21/02/06","04:04",2.5
"21/02/06","10:30",1
"21/02/06","16:11",2.8
"21/02/06","23:39",1.1
"22/02/06","05:28",2.4
"22/02/06","11:32",1.1
"22/02/06","17:28",2.7
"23/02/06","01:21",1.2
"23/02/06","07:02",2.4
"23/02/06","12:38",1.1
"23/02/06","18:54",2.8
"24/02/06","03:11",1
"24/02/06","08:23",2.6
"24/02/06","14:24",1.1
"24/02/06","20:09",3
"25/02/06","04:17",0.8
"25/02/06","09:28",2.9
"25/02/06","16:19",0.9
"25/02/06","21:17",3.2
"26/02/06","05:08",0.5
"26/02/06","10:21",3.2
"26/02/06","17:17",0.7
"26/02/06","22:19",3.5
"27/02/06","06:00",0.4
"27/02/06","11:08",3.4
"27/02/06","18:08",0.5
"27/02/06","23:13",3.6
"28/02/06","06:49",0.3
"28/02/06","11:47",3.6
"28/02/06","18:58",0.3
"28/02/06","23:55",3.7
"01/03/06","07:28",0.3
"01/03/06","12:30",3.7
"01/03/06","19:47",0.3
"02/03/06","00:41",3.8
"02/03/06","08:04",0.3
"02/03/06","13:09",3.7
"02/03/06","20:28",0.3
"03/03/06","01:28",3.7
"03/03/06","08:47",0.4
"03/03/06","13:39",3.6
"03/03/06","21:06",0.4
"04/03/06","02:11",3.5
"04/03/06","09:19",0.6
"04/03/06","14:17",3.5
"04/03/06","21:51",0.5
"05/03/06","02:53",3.2
"05/03/06","09:47",0.8
"05/03/06","14:56",3.2
"05/03/06","22:34",0.8
"06/03/06","03:47",2.9
"06/03/06","10:13",1
"06/03/06","15:43",2.9
"06/03/06","23:19",1
"07/03/06","04:58",2.5
"07/03/06","10:47",1.2
"07/03/06","16:49",2.6
"08/03/06","00:36",1.1
"08/03/06","06:23",2.4
"08/03/06","11:41",1.3
"08/03/06","18:17",2.5
"09/03/06","02:36",1.1
"09/03/06","07:49",2.4
"09/03/06","13:02",1.3
"09/03/06","19:53",2.6
"10/03/06","03:47",0.9
"10/03/06","08:53",2.6
"10/03/06","15:38",1.2
"10/03/06","20:58",2.8
"11/03/06","04:30",0.7
"11/03/06","09:41",2.8
"11/03/06","16:24",1
"11/03/06","21:45",3
"12/03/06","05:04",0.6
"12/03/06","10:19",3
"12/03/06","17:00",0.8
"12/03/06","22:24",3.2
"13/03/06","05:41",0.5
"13/03/06","10:54",3.2
"13/03/06","17:41",0.7
"13/03/06","23:00",3.3
"14/03/06","06:08",0.5
"14/03/06","11:26",3.3
"14/03/06","18:13",0.6
"14/03/06","23:36",3.4
"15/03/06","06:41",0.6
"15/03/06","11:56",3.4
"15/03/06","18:53",0.6
"16/03/06","00:08",3.4
"16/03/06","07:06",0.6
"16/03/06","12:23",3.4
"16/03/06","19:26",0.6
"17/03/06","00:39",3.4
"17/03/06","07:41",0.7
"17/03/06","12:41",3.4
"17/03/06","20:00",0.6
"18/03/06","01:08",3.3
"18/03/06","08:04",0.8
"18/03/06","13:02",3.4
"18/03/06","20:39",0.7
"19/03/06","01:30",3.1
"19/03/06","08:34",0.8
"19/03/06","13:23",3.4
"19/03/06","21:11",0.8
"20/03/06","02:02",2.9
"20/03/06","08:41",0.9
"20/03/06","14:00",3.3
"20/03/06","21:47",0.9
"21/03/06","02:38",2.7
"21/03/06","09:17",1
"21/03/06","14:41",3.1
"21/03/06","22:32",1
"22/03/06","03:38",2.5
"22/03/06","10:04",1.1
"22/03/06","15:41",2.9
"22/03/06","23:32",1.1
"23/03/06","05:15",2.4
"23/03/06","11:11",1.1
"23/03/06","17:08",2.8
"24/03/06","01:04",1.1
"24/03/06","06:47",2.5
"24/03/06","12:24",1.2
"24/03/06","18:41",2.8
"25/03/06","02:51",1
"25/03/06","08:02",2.7
"25/03/06","14:34",1.1
"25/03/06","20:00",3
"26/03/06","03:56",0.7
"26/03/06","09:02",3
"26/03/06","16:00",0.8
"26/03/06","21:08",3.3
"27/03/06","04:51",0.5
"27/03/06","09:49",3.3
"27/03/06","17:00",0.6
"27/03/06","22:04",3.5
"28/03/06","05:38",0.4
"28/03/06","10:36",3.6
"28/03/06","17:54",0.4
"28/03/06","22:49",3.7
"29/03/06","06:19",0.4
"29/03/06","11:23",3.7
"29/03/06","18:43",0.3
"29/03/06","23:39",3.8
"30/03/06","07:00",0.4
"30/03/06","11:56",3.8
"30/03/06","19:26",0.2
"31/03/06","00:28",3.7
"31/03/06","07:47",0.4
"31/03/06","12:34",3.7
"31/03/06","20:06",0.3
"01/04/06","01:13",3.6
"01/04/06","08:19",0.6
"01/04/06","13:11",3.6
"01/04/06","20:53",0.4
"02/04/06","01:49",3.4
"02/04/06","08:51",0.7
"02/04/06","13:41",3.4
"02/04/06","21:32",0.6
"03/04/06","02:36",3.1
"03/04/06","09:15",0.9
"03/04/06","14:19",3.2
"03/04/06","22:06",0.7
"04/04/06","03:28",2.7
"04/04/06","09:34",1
"04/04/06","15:06",2.9
"04/04/06","22:51",0.9
"05/04/06","04:38",2.5
"05/04/06","10:11",1.2
"05/04/06","16:09",2.6
"05/04/06","23:49",1.1
"06/04/06","05:58",2.3
"06/04/06","11:06",1.3
"06/04/06","17:45",2.4
"07/04/06","01:45",1.1
"07/04/06","07:15",2.4
"07/04/06","12:19",1.3
"07/04/06","19:17",2.5
"08/04/06","03:04",0.9
"08/04/06","08:17",2.6
"08/04/06","14:38",1.2
"08/04/06","20:23",2.7
"09/04/06","03:53",0.8
"09/04/06","09:04",2.8
"09/04/06","15:45",0.9
"09/04/06","21:11",3
"10/04/06","04:26",0.7
"10/04/06","09:45",3
"10/04/06","16:28",0.7
"10/04/06","21:54",3.2
"11/04/06","04:58",0.6
"11/04/06","10:19",3.2
"11/04/06","17:06",0.6
"11/04/06","22:34",3.3
"12/04/06","05:32",0.6
"12/04/06","10:53",3.4
"12/04/06","17:49",0.5
"12/04/06","23:09",3.4
"13/04/06","06:02",0.6
"13/04/06","11:23",3.4
"13/04/06","18:28",0.5
"13/04/06","23:47",3.4
"14/04/06","06:41",0.7
"14/04/06","11:47",3.4
"14/04/06","19:06",0.5
"15/04/06","00:21",3.3
"15/04/06","07:13",0.7
"15/04/06","12:09",3.4
"15/04/06","19:51",0.5
"16/04/06","00:47",3.2
"16/04/06","07:51",0.8
"16/04/06","12:30",3.4
"16/04/06","20:28",0.6
"17/04/06","01:21",3
"17/04/06","08:23",0.8
"17/04/06","13:02",3.4
"17/04/06","21:04",0.7
"18/04/06","01:49",2.9
"18/04/06","08:47",0.9
"18/04/06","13:39",3.3
"18/04/06","21:49",0.8
"19/04/06","02:34",2.7
"19/04/06","09:28",0.9
"19/04/06","14:26",3.1
"19/04/06","22:36",0.9
"20/04/06","03:43",2.5
"20/04/06","10:15",1
"20/04/06","15:34",2.9
"20/04/06","23:32",0.9
"21/04/06","05:11",2.5
"21/04/06","11:17",1
"21/04/06","17:04",2.8
"22/04/06","00:45",0.9
"22/04/06","06:26",2.6
"22/04/06","12:32",1
"22/04/06","18:28",2.9
"23/04/06","02:11",0.8
"23/04/06","07:32",2.9
"23/04/06","14:21",0.9
"23/04/06","19:39",3.1
"24/04/06","03:21",0.7
"24/04/06","08:28",3.2
"24/04/06","15:41",0.7
"24/04/06","20:41",3.3
"25/04/06","04:15",0.5
"25/04/06","09:19",3.4
"25/04/06","16:41",0.5
"25/04/06","21:36",3.5
"26/04/06","05:04",0.4
"26/04/06","10:04",3.6
"26/04/06","17:34",0.3
"26/04/06","22:30",3.6
"27/04/06","05:54",0.4
"27/04/06","10:41",3.7
"27/04/06","18:19",0.2
"27/04/06","23:23",3.6
"28/04/06","06:39",0.5
"28/04/06","11:26",3.7
"28/04/06","19:04",0.2
"29/04/06","00:11",3.5
"29/04/06","07:17",0.6
"29/04/06","12:06",3.6
"29/04/06","19:53",0.2
"30/04/06","00:51",3.4
"30/04/06","07:54",0.7
"30/04/06","12:38",3.5
"30/04/06","20:34",0.4
"01/05/06","01:38",3.2
"01/05/06","08:24",0.8
"01/05/06","13:17",3.3
"01/05/06","21:08",0.5
"02/05/06","02:24",2.9
"02/05/06","08:41",0.9
"02/05/06","13:56",3.1
"02/05/06","21:45",0.7
"03/05/06","03:13",2.6
"03/05/06","09:08",0.9
"03/05/06","14:39",2.8
"03/05/06","22:17",0.8
"04/05/06","04:08",2.4
"04/05/06","09:45",1
"04/05/06","15:39",2.6
"04/05/06","22:58",0.9
"05/05/06","05:13",2.3
"05/05/06","10:41",1.1
"05/05/06","17:00",2.4
"05/05/06","23:56",1
"06/05/06","06:21",2.3
"06/05/06","11:49",1.1
"06/05/06","18:21",2.5
"07/05/06","01:23",1
"07/05/06","07:23",2.5
"07/05/06","13:09",1.1
"07/05/06","19:32",2.6
"08/05/06","02:36",0.9
"08/05/06","08:13",2.7
"08/05/06","14:39",0.9
"08/05/06","20:26",2.8
"09/05/06","03:24",0.8
"09/05/06","08:58",2.9
"09/05/06","15:43",0.7
"09/05/06","21:15",3
"10/05/06","04:04",0.7
"10/05/06","09:36",3.1
"10/05/06","16:34",0.5
"10/05/06","21:58",3.2
"11/05/06","04:47",0.7
"11/05/06","10:11",3.3
"11/05/06","17:17",0.5
"11/05/06","22:41",3.2
"12/05/06","05:28",0.7
"12/05/06","10:39",3.3
"12/05/06","18:02",0.4
"12/05/06","23:23",3.2
"13/05/06","06:08",0.7
"13/05/06","11:11",3.4
"13/05/06","18:51",0.4
"14/05/06","00:00",3.1
"14/05/06","06:53",0.7
"14/05/06","11:34",3.4
"14/05/06","19:36",0.4
"15/05/06","00:38",3
"15/05/06","07:34",0.7
"15/05/06","12:09",3.3
"15/05/06","20:13",0.4
"16/05/06","01:21",2.9
"16/05/06","08:09",0.7
"16/05/06","12:45",3.3
"16/05/06","20:58",0.5
"17/05/06","01:53",2.8
"17/05/06","08:51",0.7
"17/05/06","13:30",3.2
"17/05/06","21:45",0.5
"18/05/06","02:43",2.7
"18/05/06","09:36",0.8
"18/05/06","14:26",3.1
"18/05/06","22:26",0.6
"19/05/06","03:47",2.7
"19/05/06","10:23",0.8
"19/05/06","15:36",3
"19/05/06","23:15",0.6
"20/05/06","04:54",2.7
"20/05/06","11:19",0.8
"20/05/06","16:56",2.9
"21/05/06","00:13",0.7
"21/05/06","05:56",2.8
"21/05/06","12:26",0.8
"21/05/06","18:08",3
"22/05/06","01:24",0.7
"22/05/06","06:56",3
"22/05/06","13:47",0.7
"22/05/06","19:15",3.1
"23/05/06","02:38",0.6
"23/05/06","07:51",3.2
"23/05/06","15:09",0.6
"23/05/06","20:15",3.2
"24/05/06","03:41",0.6
"24/05/06","08:39",3.3
"24/05/06","16:11",0.4
"24/05/06","21:13",3.3
"25/05/06","04:36",0.5
"25/05/06","09:26",3.4
"25/05/06","17:06",0.3
"25/05/06","22:09",3.3
"26/05/06","05:24",0.6
"26/05/06","10:15",3.4
"26/05/06","18:00",0.2
"26/05/06","22:58",3.3
"27/05/06","06:08",0.6
"27/05/06","10:54",3.4
"27/05/06","18:51",0.2
"27/05/06","23:49",3.2
"28/05/06","06:53",0.7
"28/05/06","11:34",3.3
"28/05/06","19:36",0.3
"29/05/06","00:38",3.1
"29/05/06","07:32",0.7
"29/05/06","12:17",3.2
"29/05/06","20:11",0.3
"30/05/06","01:24",2.9
"30/05/06","07:54",0.8
"30/05/06","12:56",3.1
"30/05/06","20:51",0.4
"31/05/06","02:06",2.8
"31/05/06","08:23",0.8
"31/05/06","13:36",3
"31/05/06","21:17",0.6
"01/06/06","02:45",2.6
"01/06/06","08:43",0.8
"01/06/06","14:19",2.8
"01/06/06","21:43",0.7
"02/06/06","03:30",2.5
"02/06/06","09:23",0.8
"02/06/06","15:09",2.7
"02/06/06","22:11",0.7
"03/06/06","04:19",2.4
"03/06/06","10:11",0.9
"03/06/06","16:13",2.5
"03/06/06","22:58",0.8
"04/06/06","05:15",2.4
"04/06/06","11:09",0.9
"04/06/06","17:23",2.5
"04/06/06","23:53",0.8
"05/06/06","06:13",2.5
"05/06/06","12:15",0.9
"05/06/06","18:34",2.5
"06/06/06","00:53",0.8
"06/06/06","07:09",2.6
"06/06/06","13:32",0.8
"06/06/06","19:36",2.7
"07/06/06","01:54",0.8
"07/06/06","08:00",2.8
"07/06/06","14:49",0.7
"07/06/06","20:32",2.8
"08/06/06","02:54",0.8
"08/06/06","08:41",3
"08/06/06","15:54",0.6
"08/06/06","21:23",2.9
"09/06/06","03:53",0.7
"09/06/06","09:21",3.1
"09/06/06","16:51",0.5
"09/06/06","22:09",3
"10/06/06","04:49",0.7
"10/06/06","09:56",3.2
"10/06/06","17:45",0.4
"10/06/06","22:54",3
"11/06/06","05:43",0.7
"11/06/06","10:32",3.2
"11/06/06","18:32",0.4
"11/06/06","23:41",3
"12/06/06","06:34",0.7
"12/06/06","11:15",3.3
"12/06/06","19:13",0.3
"13/06/06","00:30",3
"13/06/06","07:17",0.6
"13/06/06","11:53",3.3
"13/06/06","20:00",0.3
"14/06/06","01:17",2.9
"14/06/06","08:00",0.6
"14/06/06","12:38",3.3
"14/06/06","20:49",0.3
"15/06/06","01:53",2.9
"15/06/06","08:49",0.5
"15/06/06","13:30",3.2
"15/06/06","21:30",0.3
"16/06/06","02:41",2.9
"16/06/06","09:34",0.5
"16/06/06","14:28",3.2
"16/06/06","22:08",0.3
"17/06/06","03:34",2.9
"17/06/06","10:17",0.5
"17/06/06","15:32",3.1
"17/06/06","22:56",0.4
"18/06/06","04:26",2.9
"18/06/06","11:08",0.6
"18/06/06","16:38",3
"18/06/06","23:43",0.5
"19/06/06","05:21",2.9
"19/06/06","12:08",0.6
"19/06/06","17:43",3
"20/06/06","00:36",0.6
"20/06/06","06:17",3
"20/06/06","13:21",0.6
"20/06/06","18:49",3
"21/06/06","01:38",0.6
"21/06/06","07:13",3.1
"21/06/06","14:41",0.6
"21/06/06","19:51",3
"22/06/06","02:49",0.7
"22/06/06","08:09",3.1
"22/06/06","15:53",0.5
"22/06/06","20:51",3
"23/06/06","03:58",0.7
"23/06/06","09:02",3.2
"23/06/06","16:53",0.4
"23/06/06","21:49",3
"24/06/06","04:56",0.7
"24/06/06","09:47",3.2
"24/06/06","17:47",0.3
"24/06/06","22:45",3
"25/06/06","05:49",0.7
"25/06/06","10:34",3.2
"25/06/06","18:36",0.3
"25/06/06","23:38",3
"26/06/06","06:34",0.7
"26/06/06","11:21",3.1
"26/06/06","19:13",0.3
"27/06/06","00:26",2.9
"27/06/06","07:06",0.7
"27/06/06","12:04",3.1
"27/06/06","19:54",0.4
"28/06/06","01:04",2.9
"28/06/06","07:39",0.7
"28/06/06","12:41",3
"28/06/06","20:24",0.4
"29/06/06","01:39",2.8
"29/06/06","08:00",0.7
"29/06/06","13:19",3
"29/06/06","20:49",0.5
"30/06/06","02:11",2.7
"30/06/06","08:30",0.7
"30/06/06","13:58",2.9
"30/06/06","21:08",0.6
"01/07/06","02:47",2.7
"01/07/06","09:04",0.7
"01/07/06","14:39",2.8
"01/07/06","21:36",0.6
"02/07/06","03:23",2.6
"02/07/06","09:47",0.7
"02/07/06","15:28",2.7
"02/07/06","22:11",0.7
"03/07/06","04:06",2.5
"03/07/06","10:38",0.8
"03/07/06","16:26",2.5
"03/07/06","22:58",0.8
"04/07/06","04:58",2.5
"04/07/06","11:36",0.8
"04/07/06","17:34",2.5
"04/07/06","23:51",0.8
"05/07/06","05:56",2.6
"05/07/06","12:39",0.9
"05/07/06","18:41",2.5
"06/07/06","00:45",0.8
"06/07/06","06:53",2.7
"06/07/06","13:54",0.8
"06/07/06","19:45",2.5
"07/07/06","01:41",0.9
"07/07/06","07:45",2.8
"07/07/06","15:21",0.7
"07/07/06","20:45",2.6
"08/07/06","02:43",0.9
"08/07/06","08:32",2.9
"08/07/06","16:26",0.6
"08/07/06","21:39",2.7
"09/07/06","04:15",0.8
"09/07/06","09:21",3
"09/07/06","17:21",0.5
"09/07/06","22:34",2.8
"10/07/06","05:19",0.8
"10/07/06","10:11",3.1
"10/07/06","18:09",0.4
"10/07/06","23:26",2.9
"11/07/06","06:13",0.7
"11/07/06","10:56",3.2
"11/07/06","19:00",0.3
"12/07/06","00:15",3
"12/07/06","07:02",0.6
"12/07/06","11:45",3.3
"12/07/06","19:49",0.2
"13/07/06","00:54",3.1
"13/07/06","07:54",0.5
"13/07/06","12:36",3.4
"13/07/06","20:30",0.2
"14/07/06","01:39",3.2
"14/07/06","08:41",0.4
"14/07/06","13:30",3.4
"14/07/06","21:08",0.2
"15/07/06","02:23",3.2
"15/07/06","09:21",0.4
"15/07/06","14:23",3.3
"15/07/06","21:53",0.3
"16/07/06","03:04",3.2
"16/07/06","10:04",0.4
"16/07/06","15:17",3.2
"16/07/06","22:32",0.4
"17/07/06","03:49",3.1
"17/07/06","10:54",0.5
"17/07/06","16:13",3
"17/07/06","23:09",0.5
"18/07/06","04:43",3
"18/07/06","11:49",0.6
"18/07/06","17:17",2.9
"18/07/06","23:54",0.7
"19/07/06","05:41",2.9
"19/07/06","12:53",0.7
"19/07/06","18:24",2.8
"20/07/06","00:45",0.8
"20/07/06","06:41",2.9
"20/07/06","14:23",0.7
"20/07/06","19:34",2.7
"21/07/06","01:47",0.9
"21/07/06","07:43",2.9
"21/07/06","15:41",0.6
"21/07/06","20:43",2.8
"22/07/06","03:38",0.9
"22/07/06","08:43",2.9
"22/07/06","16:43",0.5
"22/07/06","21:45",2.8
"23/07/06","04:41",0.8
"23/07/06","09:38",3
"23/07/06","17:34",0.4
"23/07/06","22:39",2.9
"24/07/06","05:34",0.8
"24/07/06","10:30",3
"24/07/06","18:13",0.4
"24/07/06","23:26",2.9
"25/07/06","06:11",0.8
"25/07/06","11:15",3.1
"25/07/06","18:58",0.4
"26/07/06","00:04",2.9
"26/07/06","06:51",0.7
"26/07/06","11:51",3.1
"26/07/06","19:32",0.4
"27/07/06","00:38",2.9
"27/07/06","07:19",0.7
"27/07/06","12:28",3.1
"27/07/06","19:56",0.5
"28/07/06","01:09",2.9
"28/07/06","07:47",0.7
"28/07/06","13:02",3.1
"28/07/06","20:17",0.6
"29/07/06","01:38",2.9
"29/07/06","08:15",0.7
"29/07/06","13:36",3
"29/07/06","20:39",0.6
"30/07/06","02:04",2.9
"30/07/06","08:47",0.7
"30/07/06","14:09",2.9
"30/07/06","21:00",0.6
"31/07/06","02:30",2.9
"31/07/06","09:24",0.7
"31/07/06","14:47",2.8
"31/07/06","21:34",0.7
"01/08/06","03:02",2.8
"01/08/06","10:04",0.8
"01/08/06","15:32",2.6
"01/08/06","22:11",0.8
"02/08/06","03:41",2.7
"02/08/06","10:56",0.9
"02/08/06","16:32",2.4
"02/08/06","22:58",0.9
"03/08/06","04:39",2.6
"03/08/06","11:56",1
"03/08/06","17:49",2.3
"03/08/06","23:54",0.9
"04/08/06","05:49",2.6
"04/08/06","13:09",1
"04/08/06","19:06",2.3
"05/08/06","00:51",1
"05/08/06","06:56",2.7
"05/08/06","14:51",0.9
"05/08/06","20:19",2.5
"06/08/06","01:49",1
"06/08/06","08:00",2.8
"06/08/06","16:06",0.7
"06/08/06","21:23",2.7
"07/08/06","03:41",0.9
"07/08/06","09:02",3
"07/08/06","17:02",0.6
"07/08/06","22:17",2.9
"08/08/06","05:00",0.8
"08/08/06","09:53",3.2
"08/08/06","17:56",0.4
"08/08/06","23:04",3
"09/08/06","06:00",0.6
"09/08/06","10:45",3.3
"09/08/06","18:45",0.3
"09/08/06","23:47",3.2
"10/08/06","06:53",0.5
"10/08/06","11:39",3.5
"10/08/06","19:26",0.3
"11/08/06","00:32",3.4
"11/08/06","07:41",0.4
"11/08/06","12:30",3.5
"11/08/06","20:06",0.2
"12/08/06","01:15",3.4
"12/08/06","08:23",0.3
"12/08/06","13:21",3.5
"12/08/06","20:51",0.2
"13/08/06","01:45",3.4
"13/08/06","09:04",0.3
"13/08/06","14:08",3.4
"13/08/06","21:28",0.4
"14/08/06","02:28",3.4
"14/08/06","09:53",0.4
"14/08/06","14:53",3.3
"14/08/06","22:02",0.5
"15/08/06","03:13",3.2
"15/08/06","10:39",0.5
"15/08/06","15:49",3
"15/08/06","22:41",0.7
"16/08/06","04:04",3
"16/08/06","11:28",0.7
"16/08/06","16:56",2.8
"16/08/06","23:21",0.9
"17/08/06","05:04",2.8
"17/08/06","12:36",0.8
"17/08/06","18:09",2.6
"18/08/06","00:09",1
"18/08/06","06:15",2.7
"18/08/06","14:08",0.8
"18/08/06","19:30",2.5
"19/08/06","01:24",1.1
"19/08/06","07:34",2.7
"19/08/06","15:32",0.7
"19/08/06","20:41",2.6
"20/08/06","03:28",1
"20/08/06","08:43",2.8
"20/08/06","16:28",0.5
"20/08/06","21:39",2.8
"21/08/06","04:28",0.9
"21/08/06","09:39",2.9
"21/08/06","17:11",0.4
"21/08/06","22:24",2.9
"22/08/06","05:11",0.8
"22/08/06","10:24",3.1
"22/08/06","17:56",0.4
"22/08/06","23:02",3
"23/08/06","05:53",0.7
"23/08/06","11:02",3.2
"23/08/06","18:32",0.5
"23/08/06","23:38",3.1
"24/08/06","06:28",0.7
"24/08/06","11:38",3.2
"24/08/06","18:58",0.5
"25/08/06","00:08",3.1
"25/08/06","06:58",0.6
"25/08/06","12:11",3.3
"25/08/06","19:24",0.6
"26/08/06","00:36",3.2
"26/08/06","07:32",0.6
"26/08/06","12:43",3.2
"26/08/06","19:49",0.6
"27/08/06","01:00",3.2
"27/08/06","08:00",0.6
"27/08/06","13:13",3.2
"27/08/06","20:09",0.7
"28/08/06","01:23",3.1
"28/08/06","08:36",0.7
"28/08/06","13:41",3
"28/08/06","20:38",0.7
"29/08/06","01:43",3.1
"29/08/06","09:06",0.7
"29/08/06","14:13",2.9
"29/08/06","20:56",0.8
"30/08/06","02:11",3
"30/08/06","09:45",0.9
"30/08/06","14:47",2.6
"30/08/06","21:32",0.9
"31/08/06","02:49",2.9
"31/08/06","10:30",1
"31/08/06","15:39",2.4
"31/08/06","22:19",1
"01/09/06","03:41",2.7
"01/09/06","11:26",1.1
"01/09/06","17:06",2.2
"01/09/06","23:15",1.1
"02/09/06","04:58",2.6
